Name,Website,Awwwards Profile,Qualité,Email,Date mail 1,Réponse,Réponse finale,Langue,Tech,Lien candidature / source,Commentaire,Mail envoyé
Stereo,https://stereo.ca/,https://www.awwwards.com/enstereo/,17,jobs@stereo.ca,13/01/2026,FALSE,,FR,wordpress,,,
EXECUTIVE,https://www.executiveagency.ca/,https://www.awwwards.com/EXECUTIVEAGENCY/,17,hello@executiveagency.ca,13/01/2026,FALSE,,EN,wordpress,,,
Department Maison de Création,https://department.global/,https://www.awwwards.com/DepartmentMaisondeCreation/,19,contact@department.global,13/01/2026,FALSE,,FR,native ? aucune idée ,,,
The Digital Panda,https://www.thedigitalpanda.com/,https://www.awwwards.com/digitalpanda/,15,info@thedigitalpanda.com,13/01/2026,FALSE,,EN,webflow,,,
NOTHING,http://madebynothing.com/,https://www.awwwards.com/madebynothing/,15,hello@madebynothing.com,13/01/2026,FALSE,,EN,react/framer/motion/lenis,,,
Pact,https://workwithpact.com/,https://www.awwwards.com/pact/,15,careers@workwithpact.com,13/01/2026,FALSE,,EN,shopify,,,
Atoll Digital,https://atolldigital.com/,https://www.awwwards.com/AtollDigital/,14,info@atolldigital.com,13/01/2026,FALSE,,FR,wordpress,,,
Otherlife,https://www.otherlife.xyz/,https://www.awwwards.com/Otherlife/,15,hiring@otherlife.xyz,13/01/2026,FALSE,,EN,nextjs + theatre js ,,,
QuatreCentQuatre,https://quatrecentquatre.com/,https://www.awwwards.com/QuatreCentQuatre/,18,carrieres@quatrecentquatre.com,13/01/2026,TRUE,"""""""Bonjour Andy,

Merci de nous avoir soumis ta candidature, ainsi que pour les bons mots :)

Je souhaite t’informer qu’actuellement nous n’avons aucun poste ouvert au sein de l’équipe de développement et nous ne sommes pas en recherches.

Je garde tout de même ton profil en note et je me permettrai de te recontacter si notre situation venait à changer prochainement.

Merci et au plaisir!

Olivier Simoneau""""""",FR,craft (php),,,
Metalab,https://www.metalab.com/,https://www.awwwards.com/Metalab/,19,onejobplz@metalab.com,13/01/2026,TRUE,Keep in touch pls,EN,sanity + nextjs,,,
Instynct,https://instynctweb.com/,https://www.awwwards.com/Instynctweb/,18,allo@instynctweb.com,13/01/2026,FALSE,,FR,wordpress,,site marrant avec les croissants et tout :d,
fatfish,https://fatfish.ca/,https://www.awwwards.com/fatfishweb/,20,,13/01/2026,FALSE,,FR,wordpress,https://fatfish.ca/en/careers/web-development/,"sketchy trop cool , depuis website",
equalparts.studio,http://equalparts.studio/,https://www.awwwards.com/equalpartsstudio/,15,hello@equalparts.studio,13/01/2026,FALSE,,EN,native ? aucune idée ,,,
DACTYLO,https://dactylocommunication.com/,https://www.awwwards.com/DACTYLO/,15,info@dactylocommunication.com,13/01/2026,FALSE,,FR,wordpress,,,
MARKÉTIKA,https://marketika.co/careers,https://www.awwwards.com/marketika/,15,hello@marketika.co,13/01/2026,FALSE,,EN,tilda cms ,,,
edifian,https://edifian.com/,https://www.awwwards.com/edifian/,16,hello@edifian.com,13/01/2026,FALSE,,EN,wordpress,,,
MOONBASE®,http://reachmoonbase.com/,https://www.awwwards.com/reachmoonbase/,12,contact@reachmoonbase.com,13/01/2026,FALSE,,EN,webflow,,,
Flipp Advertising,https://flippadvertising.com/,https://www.awwwards.com/FlippAdvertising/,14,pushstart@thinkflipp.com,13/01/2026,FALSE,,EN,wordpress,,,
FOE Creative,https://foecreative.com/,https://www.awwwards.com/FOE/,15,hello@foecreative.com,13/01/2026,TRUE,,EN,wordpress,,"intéressé par next+react -> veut orga un call, en attente de leurs réponse","Dommage sur le timing, ça va pas le faire de leurs côté snif"
Stōkt Creative Co.,https://wearestokt.com/,https://www.awwwards.com/wearestokt/,16,hello@stokt.ca,13/01/2026,FALSE,,EN,react + framer,,,
Acolyte,http://acolyte.ws/,https://www.awwwards.com/Acolyte/,15,info@acolyte.ws,13/01/2026,FALSE,,FR,nuxtjs + threejs,,,
Context Creative,http://www.contextcreative.com/,https://www.awwwards.com/ContextCreative/,12,info@contextcreative.com,12/01/2026,FALSE,,EN,wordpress,,website link brkn,
The West Harbour,https://thewestharbour.com/,https://www.awwwards.com/thewestharbour/,14,contact@thewestharbour.com,13/01/2026,FALSE,,EN,wordpress,,,
Channel 13,https://channel13.ca/,https://www.awwwards.com/Channel-13/,14,info@channel13.ca,13/01/2026,FALSE,,EN,wordpress,,,
Duxica,https://www.duxica.com/contact,https://www.awwwards.com/duxica/,14,duxica@gmail.com,13/01/2026,FALSE,,EN,webflow,,,
Ripple_CA,https://weareripple.ca/,https://www.awwwards.com/ripple-ca/,16,office@weareripple.ca,13/01/2026,FALSE,,EN,wordpress,,,
Belowe,https://belowe.co/,https://www.awwwards.com/beloweco/,14,hello@belowe.co,13/01/2026,FALSE,,EN,wordpress,,,
HausofPark,https://hausofpark.com/,https://www.awwwards.com/HausofPark/,15,info@hausofpark.com,13/01/2026,FALSE,,EN,nextjs,,,
lift.digital,https://liftinteractive.com/,https://www.awwwards.com/lift.digital/,16,hello@liftinteractive.com,13/01/2026,FALSE,,EN,nextjs,,,
Diapason,https://collectifdiapason.com/,https://www.awwwards.com/Diapason/,17,bonjour@collectifdiapason.com,13/01/2026,TRUE,"Bonjour Andy!

Merci du fond du cœur pour ton message. Je trouve ça véritablement beau de voir des gens nous écrire de façon spontanée comme tu l'as fait. Ça prend aussi du courage, bravo! 🙂

De notre côté, nous n'avons pas de demande pressante à onboarder avec nous un nouveau dev, donc malheureusement pour le moment ça ne sera pas le bon timing pour toi. 

Par contre, nous pouvons t'ajouter dans notre banque de candidats potentiels et revenir vers toi, lorsqu'on en aura besoin. 

Je te souhaite une excellente journée! 

Merci,",FR,wordpress,,,
newkid®,https://newkid.services/,https://www.awwwards.com/newkid/,15,info@newkid.services,13/01/2026,TRUE,,EN,wordpress,,,
seoplus+,https://seoplus.com/,https://www.awwwards.com/seopluscanada/,15,info@seoplus.com,13/01/2026,FALSE,,EN,wordpress,,,
Pixel Firme créative,http://agencepixel.ca/,https://www.awwwards.com/agencepixel/,18,info@agencepixel.ca,13/01/2026,FALSE,,FR,sanity + nextjs,,,
Webgamma,https://webgamma.ca/,https://www.awwwards.com/webgamma/,16,team@webgamma.ca,13/01/2026,FALSE,,EN,wordpress,,,
ImageX,http://imagexmedia.com/,https://www.awwwards.com/ImageX/,12,hello@imagexmedia.com,13/01/2026,FALSE,,EN,drupal,,,
ZenBDC,https://www.zenbranding.ca/,https://www.awwwards.com/ZenBDC/,16,-,12/01/2026,FALSE,,FR,wordpress,https://www.zenbranding.ca/agence-de-branding/,par leurs site,
jim-morris,https://www.ventureweb.net/,https://www.awwwards.com/jim-morris/,16,hello@ventureweb.net,13/01/2026,FALSE,,EN,gatsby,,,
Craft Innovations,https://craftinnovations.global/,https://www.awwwards.com/craftinnovations/,12,bizdev@craftinnovations.global,13/01/2026,FALSE,,EN,wordpress,,,
Explore Agency,https://explore.agency/,https://www.awwwards.com/explore.agency/,15,ca@explore.agency,13/01/2026,FALSE,,EN,wordpress,,,
Takt,http://www.takt.com/,https://www.awwwards.com/taktagency/,15,hello@takt.com,13/01/2026,FALSE,,EN,wordpress,,,
21phi,https://21phi.com/,https://www.awwwards.com/21phi/,14,admin@21phi.com,13/01/2026,FALSE,,EN,nextjs,,,
Ascend,https://www.ascendtogether.com/,https://www.ascendtogether.com/ascend-jobs/?gh_jid=4825955007&gh_src=oe7esff97us,12,-> linkedin,13/01/2026,FALSE,,EN,nextjs/react/js ecosystem,,,
Samsara,,https://www.linkedin.com/jobs/search/post-apply/default/?currentJobId=4294708349&distance=25.0&f_TPR=r604800&geoId=101174742&keywords=product%20engineer&origin=JOBS_HOME_KEYWORD_HISTORY&postApplyJobId=4294708349,,-> linkedin,13/01/2026,FALSE,,EN,js/ts ecosystem ,,,
Wanderlog,,https://app.dover.com/apply/wanderlog/525ddbcc-28c3-4b10-92ac-9ad356e35593?rs=42706078,,-> linkedin + leur site,13/01/2026,FALSE,,EN,js/ts/react/node/react native,,,
HelloFresh,,https://careers.hellofresh.com/global/en/applythankyou?status=success&jobId=7308659&jobTitle=Software%20Developer&jobSeqNo=HELLGLOBAL7308659EXTERNALENGLOBAL&candidateId=contact%40andy-cinquin.fr,,-> linkedin + leur site,13/01/2026,FALSE,,EN,js/ts/nextjs,,,
Phoenix,,https://jobs.ashbyhq.com/phoenix/1d3aa192-4039-4cda-86ab-49494dbad1be?source=LinkedIn,,-> linkedin + leur site,13/01/2026,FALSE,,EN,react/ts,,,
Cohere,,https://jobs.ashbyhq.com/cohere/f5f727bc-9eab-4fcc-9fdd-92a9ce47c37c/application?utm_source=jKNDxYPz51,,-> linkedin + leur site,13/01/2026,FALSE,,EN,react/ts,,,
Cloud Imperium Games Montreal (Star Citizen),,https://cloudimperiumgames.wd503.myworkdayjobs.com/en-US/CIG_Global_Careers/job/Montreal/Dveloppeurse-Fullstack---Fullstack-Developer_JR101305-1/apply/autofillWithResume?source=linkedin,,-> linkedin + leur site,13/01/2026,FALSE,,EN/FR,react/ts/appolo graph,,,
Canny,,https://www.linkedin.com/jobs/search/?currentJobId=4361506794&distance=25.0&f_TPR=r86400&geoId=101174742&keywords=developer%20nextjs&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD,,-> Linkedin + leur site,14/01/2026,FALSE,,EN,ts/react,,,
EviSmart,,https://job-boards.greenhouse.io/evismart/jobs/4019542009,,-> Linkedin + leur site,14/01/2026,FALSE,,EN,next,,,
Github,,https://www.linkedin.com/jobs/search/?currentJobId=4346140954&distance=25.0&f_TPR=r86400&geoId=101174742&keywords=developer%20nextjs&origin=JOB_SEARCH_PAGE_JOB_FILTER,,-> Linkedin + leur site,14/01/2026,FALSE,,EN,react+,,,
Osedea,https://www.osedea.com/fr/destination/developpement-logiciel,,,depuis leur site,14/01/2026,FALSE,,FR,js,,,
Spiria,,https://jobs.lever.co/spiria/e66694c9-e8f3-442b-9bfd-e2575ffa2e5e/thanks,,depuis leur site ,14/01/2026,FALSE,,EN,react,,,
Civilia,depuis https://www.quebecemploi.gouv.qc.ca/plateforme-emploi,https://civilia.ca/carriere/developpeurse-front-end/,,info@civilia.ca,14/01/2026,FALSE,,FR,react,,,
GESTION PLANIFIX INC. (PlanOps),https://planops.net/,,,info@planops.net,14/01/2026,FALSE,,FR,svelte js,,,
Mindsea,,,,jobs@mindsea.com,15/01/2026,FALSE,,EN,,,,
Data rocket,,,,hello@datarockets.com,15/01/2026,FALSE,,EN,,,,
Gravit-e,,,,sales@gravit-e.ca,15/01/2026,FALSE,,EN,,,,
Iversoft,,,,info@iversoft.ca,15/01/2026,FALSE,,EN,,,,
Essential Design,,,,admin@essentialdesigns.net,15/01/2026,FALSE,,EN,,,,
Technorely,,,,info@technorely.com,15/01/2026,FALSE,,EN,,,,
247 labs,,,,hello@247labs.com,15/01/2026,FALSE,,EN,,,,
Danavero,,,,info@danavero.com,15/01/2026,FALSE,,EN,,,,
Appstudio,,,,info@appstudio.ca,15/01/2026,FALSE,,EN,,,,
Direct Impact Solutions,,,,jobs@directimpactsolutions.com,15/01/2026,FALSE,,EN,,,,
ITechno Labs,,,,hello@itechnolabs.ca,15/01/2026,FALSE,,EN,,,,
Robots and Pencil,via leurs site,,,,14/01/2026,FALSE,,EN,,,,
Vertical motion,https://www.verticalmotion.ca/contact/career-inquiries/thank-you/,depuis leurs site,,,15/01/2026,FALSE,,,,,,
PunchCard,https://jobs.punchcardsystems.com/intermediate-senior-full-stack-developer-266342/?ref=aHR0cHM6Ly9wdW5jaGNhcmQuaW8vYWJvdXQvY2FyZWVycy8=,depuis leurs site,,,15/01/2026,FALSE,,,,,,
Evenset,depuis leurs site web ( form ) ,,,,15/01/2026,FALSE,,,,,,
Gray Cian ai,,,,sales@graycyan.us,19/01/2026,FALSE,,,,,,
Webisoft,,,,info@webisoft.com,19/01/2026,FALSE,,,,,,
Paradem,,,,info@paradem.com,19/01/2026,FALSE,,,,,,
Codepaper,,,,Info@codepaper.com,19/01/2026,FALSE,,,,,,
Intergalactic,,,,info@intergalactic.com,19/01/2026,FALSE,,,,,,
Therefore,,,,hello@therefore.ca,19/01/2026,FALSE,,,,,,
CCtech (convergence),,,,inquiry@cctech.io,19/01/2026,FALSE,,,,,,
The AppLab,,,,info@theapplabb.com,19/01/2026,FALSE,,,,,,
Dev Fortress,,,,info@devfortress.com,19/01/2026,FALSE,,,,,,
Alto Leap,,,,info@altoleap.com,19/01/2026,FALSE,,,,,,
CS Web Solutions,,,,info@cswebsolutions.ca,19/01/2026,FALSE,,,,,,
Fabled Solutions,,,,info@fabledsolutions.com,19/01/2026,FALSE,,,,,,
Versett,,,,hi@versett.com,19/01/2026,FALSE,,,,,,
Orthoplex,,,,info@orthoplexsolutions.com,19/01/2026,FALSE,,,,,,
Orione Solutions,,,,info@orionesolutions.com,19/01/2026,FALSE,,,,,,
Fireflower,,,,hello@fireflower.io,19/01/2026,FALSE,,,,,,
Pyramidions,,,,hr@pyramidions.com,19/01/2026,FALSE,,,,,,
TTT Studios,,,,info@ttt.studio,19/01/2026,FALSE,,,,,,
Stack fee,,,,info@stackfee.com,19/01/2026,FALSE,,,,,,
Brainyyack,,,,info@brainyyack.com,19/01/2026,FALSE,,,,,,
Ingeno,,,,info@ingeno.ca,19/01/2026,FALSE,,,,,,
Deltaliz,,,,contact@deltalyz.com,19/01/2026,FALSE,,,,,,
Architech.ca,,,,infopoland@architech.ca,19/01/2026,FALSE,,,,,,
Nexxt idea,,,,start@nexxtideas.com,19/01/2026,FALSE,,,,,,
Chrono Innovation,,,,grow@chronoinnovation.com,19/01/2026,FALSE,,,,,,
Aligned.net,,,,hello@aligned.net,19/01/2026,FALSE,,,,,,
Canadian agency,,,,sales@canadian.agency,19/01/2026,FALSE,,,,,,
Cloudonic,,,,info@cloudnonic.com,19/01/2026,FALSE,,,,,,
E monster,,,,info@emonster.ca,19/01/2026,FALSE,,,,,,
Zennaxx,,,,sales@zennaxx.com,19/01/2026,FALSE,,,,,,
BSD XR,,,,info@bsdxr.com,19/01/2026,FALSE,,,,,,
We wear many hats,,,,contact@wewearmanyhats.com,19/01/2026,FALSE,,,,,,
Calibre Consulting,,,,info@calibreconsulting.ca,19/01/2026,FALSE,,,,,,
Webdesk solutions,,,,sales@webdesksolution.com,19/01/2026,FALSE,,,,,,
Hooman,,,,hello@hooman.com,19/01/2026,FALSE,,,,,,
Telkoware,,,,info@telkoware.com,19/01/2026,FALSE,,,,,,
Footprint,,,,hello@footprint.io,19/01/2026,FALSE,,,,,,
Paperleaf,,,,sales@paper-leaf.com,19/01/2026,FALSE,,,,,,
RaccooPack Media,,,,info@raccoopack.media,19/01/2026,FALSE,,,,,,
Aveo Software,,,,sales@aveosoftware.ca,19/01/2026,FALSE,,,,,,
Uniridge,,,,hello@uniridge.co,19/01/2026,FALSE,,,,,,
Falcon Software,,,,general@falcon-software.com,19/01/2026,FALSE,,,,,,
YounSeagull,,,,hello@youngseagull.com,19/01/2026,FALSE,,,,,,
Astound Group,,,,info@astoundgroup.com,19/01/2026,FALSE,,,,,,
Nextapp,,,,contact@nexapp.ca,19/01/2026,FALSE,,,,,,
Scaling Process,,,,gabriel@scalingprocess.io,19/01/2026,FALSE,,,,,,
Idea Theorem,,,,inquiries@ideatheorem.com,19/01/2026,FALSE,,,,,,
MintMedia Services,,,,info@mintmediaservices.com,19/01/2026,FALSE,,,,,,
Openmindt,,,,recrutement@openmindt.com,19/01/2026,FALSE,,,,,,
diffAgency,,,,hello@diffagency.com,19/01/2026,FALSE,,,,,,
Oracast,,,,sales@oracast.com,19/01/2026,FALSE,,,,,,
Red Cherry,,,,Info@redcherry.ca,19/01/2026,FALSE,,,,,,
Avivi,,,,hello@avivi.pro,19/01/2026,FALSE,,,,,,
Plutosec,,,,contact@plutosec.ca,19/01/2026,FALSE,,,,,,
Cemiar,,,,info@cemiar.com,19/01/2026,FALSE,,,,,,
Simplistics CA,,,,help@simplistics.ca,19/01/2026,FALSE,,,,,,
Kalmars,,,,info@kalmars.lv,19/01/2026,FALSE,,,,,,
App-scooop,,,,info@app-scoop.com,19/01/2026,FALSE,,,,,,
Dimonoff,,,,info@dimonoff.com,19/01/2026,FALSE,,,,,,
Room4,,,,hi@room4.team,19/01/2026,FALSE,,,,,,
Olyras,,,,info@olyras.com,19/01/2026,FALSE,,,,,,
Streamline your business,,,,info@streamlineyourbusiness.ca,19/01/2026,FALSE,,,,,,
Fintelics,,,,info@fintelics.com,19/01/2026,FALSE,,,,,,
Aivia,,,,info@aivia.ca,19/01/2026,FALSE,,,,,,
DesignOgraphy,,,,info@designography.ca,19/01/2026,FALSE,,,,,,
LilHorse,,,,general@lilhorselab.com,19/01/2026,FALSE,,,,,,
Input Logic,,,,careers@inputlogic.ca,19/01/2026,FALSE,,,,,,
Emids,,depuis leur site,,,15/01/2026,FALSE,,,,,,
Warner bros,,via linkedin ,,,19/01/2026,FALSE,,,,,,
Clera,,via linkedin (funding engineer) ,,,19/01/2026,FALSE,,,,,,
Mattr,,via linkedin,,,19/01/2026,FALSE,,,,,,
Lumenalta Js eng,,via linkedin + leurs site ( recrutement boite),,,19/01/2026,FALSE,,,,,,
Hunterbond,,via linkedin candi simplifiée,,,19/01/2026,FALSE,,,,,,
